PLAYER_NAME,GP,GS,MIN,FG,3P,FT,REB,AST,STL,TO,BLK,PF,PTS,EFF,A.S.G,P.O.M,F.T,S.T,T.T,F.T.D,S.T.D,Seasons,Playoffs,Finals,titles,Retired,H.O.F
Anthony Roberts,213,0,18.2,41.2,0.0,69.9,3.9,1.2,0.4,1.2,0.1,2.4,7.8,7.1,,,,,,,,5,2,0,0,1.0,0.0
Bill Roberts,117,0,--,33.9,--,70.6,--,0.6,--,--,--,1.7,3.5,1.0,,,,,,,,2,1,0,0,1.0,0.0
Brian Roberts,314,59,16.6,41.2,35.6,90.8,1.3,2.3,0.4,0.9,0.1,1.2,6.6,6.3,,,,,,,,5,1,0,0,0.0,0.0
Fred Roberts,818,253,18.0,50.2,32.5,79.6,2.8,1.2,0.5,1.2,0.3,1.9,7.3,7.8,,,,,,,,13,9,1,0,1.0,0.0
Joe Roberts,181,0,16.1,38.3,--,64.8,5.2,0.6,--,--,--,2.3,6.2,7.3,,,,,,,,3,2,0,0,1.0,0.0
Lawrence Roberts,87,18,13.2,45.2,0.0,68.8,3.6,0.4,0.5,0.5,0.2,1.9,3.8,5.9,,,,,,,,2,0,0,0,1.0,0.0
Marv Roberts,28,0,7.5,35.5,--,66.7,0.9,0.7,0.1,--,0.1,1.2,2.1,2.0,,,,,,,,1,0,0,0,1.0,0.0
Stanley Roberts,300,178,19.6,49.9,0.0,51.4,5.2,0.6,0.4,1.2,1.3,3.5,8.5,9.8,,,,,,,,8,3,0,0,1.0,0.0
Alvin Robertson,779,680,31.7,47.7,29.5,74.3,5.2,5.0,2.7,2.7,0.4,3.4,14.0,17.6,4.0,1.0,0.0,1.0,0.0,2.0,4.0,10,4,0,0,1.0,0.0
Oscar Robertson,1040,0,42.2,48.5,--,83.8,7.5,9.5,1.1,--,0.1,2.8,25.7,31.6,12.0,,9.0,2.0,0.0,,,14,10,2,1,1.0,1.0
Ryan Robertson,1,0,25.0,33.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,,,,,,,,1,0,0,0,1.0,0.0
Tony Robertson,75,0,13.4,43.5,--,69.4,1.1,1.4,1.1,1.3,0.1,1.9,5.5,4.4,,,,,,,,2,1,0,0,1.0,0.0
Rick Robey,493,46,17.9,50.1,12.5,65.0,4.7,1.2,0.4,1.6,0.2,2.5,7.6,8.7,,,,,,,,8,5,1,1,1.0,0.0
Bernard Robinson,128,19,14.9,41.7,16.1,78.6,2.5,1.0,0.9,0.9,0.1,1.7,4.5,5.4,,,,,,,,3,1,0,0,1.0,0.0
Chris Robinson,76,6,14.4,37.6,37.4,57.1,1.5,1.4,0.6,0.9,0.2,1.8,4.6,4.3,,,,,,,,2,0,0,0,1.0,0.0
Cliff Robinson,629,413,30.7,46.8,18.4,72.2,8.3,2.0,1.0,2.5,0.7,3.0,17.2,17.5,1.0,,,,,0.0,2.0,11,4,0,0,1.0,0.0
Cliff Robinson,1380,844,30.8,43.8,35.6,68.9,4.6,2.2,1.0,1.8,1.0,3.0,14.2,13.2,1.0,,,,,0.0,2.0,18,17,2,0,1.0,0.0
David Robinson,987,985,34.7,51.8,25.0,73.6,10.6,2.5,1.4,2.4,3.0,2.9,21.1,27.0,10.0,4.0,4.0,2.0,4.0,4.0,4.0,14,12,2,2,1.0,1.0
Devin Robinson,8,0,13.5,57.1,0.0,64.3,3.1,0.8,0.6,0.3,0.8,1.6,6.1,8.6,,,,,,,,2,0,0,0,0.0,0.0
Duncan Robinson,214,190,28.3,43.7,40.7,85.9,3.1,1.5,0.6,0.9,0.2,2.5,12.2,11.2,,,,,,,,,,,,,0.0
